,company,title,location,skills,joblinks
40,zeb consulting,IT Architekt / Business Data Analyst (w|m|d),,,https://de.linkedin.com/jobs/view/it-architekt-business-data-analyst-w-m-d-at-zeb-consulting-3498580570?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=a4IZ1%2BNDOYyfZ7ro5%2FfVIA%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
41,DKB Service GmbH,Business Analyst Controlling,,,https://de.linkedin.com/jobs/view/business-analyst-controlling-at-dkb-service-gmbh-3555962554?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=Whz0s0B1CgtWPIM04S%2BqHw%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
42,Believe Resourcing Group,BUSINESS ANALYST,,,https://de.linkedin.com/jobs/view/business-analyst-at-believe-resourcing-group-3521053710?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=pg0TchkfEr57uMr4sghmbg%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
43,9 friendly white rabbits,(Senior) Web Analyst | Tracking Specialist (m/w/d),,,https://de.linkedin.com/jobs/view/senior-web-analyst-tracking-specialist-m-w-d-at-9-friendly-white-rabbits-3542517348?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=Fw5fVZm53nAVMvnC1Otkjg%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
44,msg,Business Consultant Data Architecture und Data Analysis / New Data Solutions (m/w/d),,,https://de.linkedin.com/jobs/view/business-consultant-data-architecture-und-data-analysis-new-data-solutions-m-w-d-at-msg-3543539125?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=xvi%2BBCkhBvQWtEVpgeBeRQ%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
45,DKB | Deutsche Kreditbank AG,(IT-)Business Analyst Risikosysteme (m/w/d),,,https://de.linkedin.com/jobs/view/it-business-analyst-risikosysteme-m-w-d-at-dkb-deutsche-kreditbank-ag-3511348999?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=g4QJV%2Buqq2scAM0MjfskYA%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
46,SteepConsult,Business Analyst (m/w/d),,,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-steepconsult-3559297624?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=oNxo7DUnlPTdONEANkGCrQ%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
47,Agoda,"Statistical Analyst (Bangkok Based, Relocation Provided)",,,https://de.linkedin.com/jobs/view/statistical-analyst-bangkok-based-relocation-provided-at-agoda-3557539538?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=a%2F3HwaWLI5U1JLsvWuj2Eg%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
48,InterEx Group,D365 F&O Business Analyst (SCM),,,https://de.linkedin.com/jobs/view/d365-f-o-business-analyst-scm-at-interex-group-3553567459?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=iH6XvX2S1dFupKgjp2qaGQ%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
49,ThiemeBieg & Associates,Business Analyst,,,https://de.linkedin.com/jobs/view/business-analyst-at-thiemebieg-associates-3552088401?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=yv8AOrpU19R%2BrJ7jRSfjvg%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
50,eBay Kleinanzeigen,Senior Product Analyst Transactions (d/f/m),,,https://de.linkedin.com/jobs/view/senior-product-analyst-transactions-d-f-m-at-ebay-kleinanzeigen-3555388703?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=BY4IbbdoLHSNbUPj%2B2cGyQ%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
51,AllCloud,FinOps Business Analyst (m/f/d),,,https://de.linkedin.com/jobs/view/finops-business-analyst-m-f-d-at-allcloud-3504037372?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=rvcmv3DC6K%2BeLO4XCESrrA%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
52,publicplan GmbH,Business Analyst (m/w/d) - 100% remote,,,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-100%25-remote-at-publicplan-gmbh-3450215564?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=PHzpNNUDkF1OFxyL3IKrdA%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
53,flaconi,Senior Marketing & Product Analyst (all genders),,,https://de.linkedin.com/jobs/view/senior-marketing-product-analyst-all-genders-at-flaconi-3502419439?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=2bWzJf5NSljPiz6cazTjrQ%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
54,Berlin Hyp AG,Business Analyst (m/w/d) - Regulatory Capital & Reporting,,,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-regulatory-capital-reporting-at-berlin-hyp-ag-3556483064?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=j%2Bo0iswsZJvXpvtVQBBMNg%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
55,thermondo,Business Analyst (m/f/d),,,https://de.linkedin.com/jobs/view/business-analyst-m-f-d-at-thermondo-3520088558?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=0Y78XpZAgCc%2F5BEE3SzBPw%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
56,Tomgandhi Consulting Ltd,ACP-Business Analyst - L2 Support,,,https://de.linkedin.com/jobs/view/acp-business-analyst-l2-support-at-tomgandhi-consulting-ltd-3547848708?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=8AdvHfoVIrrG27immgagIQ%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
57,TXT GROUP,"BUSINESS ANALYST / CONSULENTE FUNZIONALE, MAC SOLUTIONSSA, BERLINO (DE)",,,https://de.linkedin.com/jobs/view/business-analyst-consulente-funzionale-mac-solutionssa-berlino-de-at-txt-group-3554319022?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=1An6mXlD%2B61ro%2Bhmyw5vQg%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
58,Positive Thinking Company,Business Analyst (M/W/D),,,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-positive-thinking-company-3557996879?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=4e27TUzuz9sOQO06TkAI0Q%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
59,Lufthansa Systems,Business Analyst NetLine/Ops (m/f/diverse),,,https://de.linkedin.com/jobs/view/business-analyst-netline-ops-m-f-diverse-at-lufthansa-systems-3544454791?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=EAJDLiWLDfq79GKiKghNfg%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
60,FORWARDIS,Business Analyst mit Finanzkenntnissen (m/w/d),,,https://de.linkedin.com/jobs/view/business-analyst-mit-finanzkenntnissen-m-w-d-at-forwardis-3529206440?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=bYz7kmtTZhrRjRBR0Hl2jA%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
61,iBeat recruiting Berlin,Marketing Analyst / Growth Manager (m/f/d),,,https://de.linkedin.com/jobs/view/marketing-analyst-growth-manager-m-f-d-at-ibeat-recruiting-berlin-3476512961?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=M52jEk4EoejtU%2BFtHuk%2B6A%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
62,Adjust,Information Security Analyst,,,https://de.linkedin.com/jobs/view/information-security-analyst-at-adjust-3557637765?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=xvPV9p0WbTP8VSKvJTYVRA%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
63,Goodlive GmbH,Marketing Analyst & Revenue Manager (x/w/m),,,https://de.linkedin.com/jobs/view/marketing-analyst-revenue-manager-x-w-m-at-goodlive-gmbh-3545717783?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=Bhlo8fUtCd0WuxFOyYPiyA%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
64,WTS Advisory,Business Analyst (w/m/d) Finance Optimization,,,https://de.linkedin.com/jobs/view/business-analyst-w-m-d-finance-optimization-at-wts-advisory-3404664036?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=El3mQn1YZOsRqiYFJWWw4w%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
65,]init[ - Services for the eSociety,Agile Business Analyst (m/w/d),,,https://de.linkedin.com/jobs/view/agile-business-analyst-m-w-d-at-init-ag-f%C3%BCr-digitale-kommunikation-3528426253?refId=vV3wCMzzg6krPG9DrNC5Kg%3D%3D&trackingId=kcfMu%2BaOJe%2Bo%2Fc%2B%2FI%2Ft%2BmQ%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
